group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
1. CFL ,1,Sutjeska,673,36,22,6,8,61,36,25,72,LWWDW
1. CFL ,2,Mornar,3740,36,20,9,7,51,29,22,69,WDDDW
1. CFL ,3,Petrovac,3741,36,13,12,11,44,36,8,51,DDWLD
1. CFL ,4,Dečić,3745,36,14,9,13,43,45,-2,51,LLLWD
1. CFL ,5,Buducnost Podgorica,579,36,13,9,14,36,35,1,48,DWDDL
1. CFL ,6,Mladost DG,16749,36,14,4,18,49,54,-5,46,WLDWW
1. CFL ,7,Arsenal Tivat,3742,36,12,10,14,36,46,-10,46,LWLDD
1. CFL ,8,Jezero,3748,36,10,11,15,38,48,-10,41,WWLLD
1. CFL ,9,Bokelj,3744,36,8,12,16,38,48,-10,36,WDWLW
1. CFL ,10,Jedinstvo,3747,36,9,8,19,30,49,-19,35,WWLDL
