group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premiership: Championship Round,1,Larne,5354,38,25,8,5,64,22,42,83,LDWWW
Premiership: Championship Round,2,Linfield,583,38,23,8,7,75,27,48,77,WDWDD
Premiership: Championship Round,3,Glentoran,5352,38,23,5,10,77,28,49,74,WWWDL
Premiership: Championship Round,4,Cliftonville FC,2266,38,20,8,10,66,53,13,68,LDLLD
Premiership: Championship Round,5,Crusaders FC,697,38,19,10,9,72,45,27,67,LDLWD
Premiership: Championship Round,6,Coleraine FC,669,38,18,8,12,59,39,20,62,WLLLD
Premiership: Relegation Round,1,Glenavon FC,2275,38,14,10,14,58,61,-3,52,DWWWD
Premiership: Relegation Round,2,Carrick Rangers,5350,38,12,4,22,45,74,-29,40,LLLWL
Premiership: Relegation Round,3,Ballymena United,668,38,11,6,21,37,55,-18,39,WDWLL
Premiership: Relegation Round,4,Newry City AFC,5346,38,9,3,26,37,71,-34,30,LDLWW
Premiership: Relegation Round,5,Dungannon Swifts,5351,38,9,3,26,28,84,-56,30,WWLLD
Premiership: Relegation Round,6,Portadown,5348,38,6,5,27,29,88,-59,23,DLWLW
Premiership: Regular Season,1,Larne,5354,33,22,7,4,57,18,39,73,DWDWW
Premiership: Regular Season,2,Linfield,583,33,21,5,7,70,25,45,68,WWDWW
Premiership: Regular Season,3,Cliftonville FC,2266,33,20,6,7,61,41,20,66,WLDWL
Premiership: Regular Season,4,Glentoran,5352,33,20,4,9,68,24,44,64,WWWLW
Premiership: Regular Season,5,Crusaders FC,697,33,18,8,7,65,37,28,62,WDDDW
Premiership: Regular Season,6,Coleraine FC,669,33,17,7,9,53,30,23,58,DLWLL
Premiership: Regular Season,7,Glenavon FC,2275,33,11,8,14,50,57,-7,41,WWWWD
Premiership: Regular Season,8,Carrick Rangers,5350,33,11,4,18,41,65,-24,37,LLWLW
Premiership: Regular Season,9,Ballymena United,668,33,9,5,19,30,49,-19,32,LLLLD
Premiership: Regular Season,10,Newry City AFC,5346,33,7,2,24,31,66,-35,23,LLLLW
Premiership: Regular Season,11,Dungannon Swifts,5351,33,7,2,24,22,76,-54,23,LWLLW
Premiership: Regular Season,12,Portadown,5348,33,4,4,25,23,83,-60,16,LDWLW
