group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Ekstraklasa ,1,Lech Poznan,347,34,16,12,6,62,45,17,60,DWDWW
Ekstraklasa ,2,Gornik Zabrze,340,34,16,8,10,50,38,12,56,WWDLW
Ekstraklasa ,3,Jagiellonia,336,34,15,11,8,56,41,15,56,WDWWL
Ekstraklasa ,4,Raków Częstochowa,3491,34,16,7,11,51,40,11,55,WWLWW
Ekstraklasa ,5,GKS Katowice,3484,34,14,8,12,51,45,6,50,DDDWD
Ekstraklasa ,6,Legia Warszawa,339,34,12,13,9,42,37,5,49,WWWWL
Ekstraklasa ,7,Zaglebie Lubin,345,34,13,9,12,45,38,7,48,LLWDL
Ekstraklasa ,8,Wisla Plock,341,34,12,10,12,34,38,-4,46,DLLLL
Ekstraklasa ,9,Pogon Szczecin,348,34,13,6,15,47,49,-2,45,DWLWD
Ekstraklasa ,10,Radomiak Radom,4248,34,11,11,12,52,53,-1,44,LLDWW
Ekstraklasa ,11,Korona Kielce,346,34,11,10,13,40,40,0,43,DWLDD
Ekstraklasa ,12,Motor Lublin,14562,34,10,13,11,46,53,-7,43,LDWLL
Ekstraklasa ,13,Cracovia Krakow,350,34,9,15,10,39,42,-3,42,DDDDD
Ekstraklasa ,14,Widzew Łódź,6962,34,12,6,16,41,41,0,42,WLWLW
Ekstraklasa ,15,Piast Gliwice,349,34,11,8,15,42,46,-4,41,LLDDW
Ekstraklasa ,16,Lechia Gdansk,343,34,12,7,15,62,65,-3,38,LLLLL
Ekstraklasa ,17,Arka Gdynia,344,34,9,9,16,34,61,-27,36,LLDDL
Ekstraklasa ,18,Nieciecza,3487,34,9,7,18,43,65,-22,34,WWLLW
