group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
I Liga,1,Arka Gdynia,344,2,2,0,0,5,0,5,6,WW
I Liga,2,Pogoń Grod. Mazowiecki,14750,2,2,0,0,4,0,4,6,WW
I Liga,3,Nieciecza,3487,2,2,0,0,4,1,3,6,WW
I Liga,4,Polonia Warszawa,16239,2,2,0,0,4,1,3,6,WW
I Liga,5,Miedz Legnica,335,2,1,1,0,3,1,2,4,WD
I Liga,6,Stal Mielec,3493,2,1,1,0,5,4,1,4,DW
I Liga,7,ŁKS Łódź,3498,2,1,1,0,3,2,1,4,WD
I Liga,8,Chrobry Głogów,3483,2,1,0,1,5,2,3,3,LW
I Liga,9,Warta Poznań,3496,2,1,0,1,6,4,2,3,WL
I Liga,10,Polonia Bytom,12835,2,1,0,1,5,5,0,3,LW
I Liga,11,Odra Opole,3488,2,1,0,1,1,1,0,3,WL
I Liga,12,Podbeskidzie,3489,2,0,2,0,4,4,0,2,DD
I Liga,13,Pogoń Siedlce,6947,2,0,1,1,2,3,-1,1,LD
I Liga,14,Puszcza Niepołomice,3490,2,0,0,2,0,2,-2,0,LL
I Liga,15,Unia Skierniewice,6961,2,0,0,2,2,5,-3,0,LL
I Liga,16,Ruch Chorzów,6953,2,0,0,2,0,4,-4,0,LL
I Liga,17,Lechia Gdansk,343,2,0,0,2,0,6,-6,0,LL
I Liga,18,Stal Rzeszów,6957,2,0,0,2,1,9,-8,0,LL
