group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premier League,1,ST Mirren,251,1,1,0,0,2,0,2,3,W
Premier League,2,ST Johnstone,258,1,1,0,0,4,3,1,3,W
Premier League,3,Motherwell,256,1,1,0,0,2,1,1,3,W
Premier League,4,Aberdeen,252,1,1,0,0,2,1,1,3,W
Premier League,5,Celtic,247,1,1,0,0,1,0,1,3,W
Premier League,6,Dundee Utd,1386,1,0,1,0,1,1,0,1,D
Premier League,7,Rangers,257,1,0,1,0,1,1,0,1,D
Premier League,8,Kilmarnock,250,1,0,0,1,3,4,-1,0,L
Premier League,9,Heart Of Midlothian,254,1,0,0,1,1,2,-1,0,L
Premier League,10,Hibernian,249,1,0,0,1,1,2,-1,0,L
Premier League,11,Dundee,253,1,0,0,1,0,1,-1,0,L
Premier League,12,Falkirk,1389,1,0,0,1,0,2,-2,0,L
