group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Primera División,1,Real Madrid,541,38,29,8,1,87,26,61,95,DDWWW
Primera División,2,Barcelona,529,38,26,7,5,79,44,35,85,WWWWL
Primera División,3,Girona,547,38,25,6,7,85,46,39,81,WWLDW
Primera División,4,Atletico Madrid,530,38,24,4,10,70,43,27,76,WLWWW
Primera División,5,Athletic Club,531,38,19,11,8,61,37,24,68,WWLDW
Primera División,6,Real Sociedad,548,38,16,12,10,51,39,12,60,LWWLW
Primera División,7,Real Betis,543,38,14,15,9,48,45,3,57,DLDWW
Primera División,8,Villarreal,533,38,14,11,13,65,65,0,53,DDWWL
Primera División,9,Valencia,532,38,13,10,15,40,45,-5,49,DLLDL
Primera División,10,Alaves,542,38,12,10,16,36,46,-10,46,DWLDW
Primera División,11,Osasuna,727,38,12,9,17,45,56,-11,45,DWDDL
Primera División,12,Getafe,546,38,10,13,15,42,54,-12,43,LLLLL
Primera División,13,Celta Vigo,538,38,10,11,17,46,57,-11,41,DWWLW
Primera División,14,Sevilla,536,38,10,11,17,48,54,-6,41,LLLLW
Primera División,15,Mallorca,798,38,8,16,14,33,44,-11,40,WDDWL
Primera División,16,Las Palmas,534,38,10,10,18,33,47,-14,40,DDDLL
Primera División,17,Rayo Vallecano,728,38,8,14,16,29,48,-19,38,LLWDL
Primera División,18,Cadiz,724,38,6,15,17,26,55,-29,33,LDWWL
Primera División,19,Almeria,723,38,3,12,23,43,75,-32,21,WDLLW
Primera División,20,Granada CF,715,38,4,9,25,38,79,-41,21,LLLLL
