group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Primera División RFEF: Group 1,1,Racing Santander,4665,38,25,7,6,61,31,30,82,WLWLD
Primera División RFEF: Group 1,2,Deportivo La Coruna,544,38,22,8,8,59,29,30,74,LWWWW
Primera División RFEF: Group 1,3,Racing Ferrol,9409,38,21,9,8,50,26,24,72,WWDWW
Primera División RFEF: Group 1,4,Rayo Majadahonda,861,38,19,5,14,50,47,3,62,WWWWL
Primera División RFEF: Group 1,5,UD Logroñés,5280,38,18,8,12,41,37,4,62,WWLWL
Primera División RFEF: Group 1,6,Celta de Vigo II,9571,38,17,10,11,60,46,14,61,DLDWD
Primera División RFEF: Group 1,7,Unionistas de Salamanca,5281,38,16,13,9,55,37,18,61,WWWLD
Primera División RFEF: Group 1,8,Real Unión,9586,38,18,6,14,51,45,6,60,WWWLW
Primera División RFEF: Group 1,9,Badajoz,9382,38,14,14,10,40,30,10,56,LLDLW
Primera División RFEF: Group 1,10,SS Reyes,9412,38,15,8,15,40,41,-1,53,WWLLD
Primera División RFEF: Group 1,11,Calahorra,9581,38,14,10,14,48,43,5,52,LLLWL
Primera División RFEF: Group 1,12,Cultural Leonesa,725,38,12,13,13,61,55,6,49,LWDLD
Primera División RFEF: Group 1,13,SD Logroñés,9411,38,12,12,14,43,43,0,48,DLWLW
Primera División RFEF: Group 1,14,Internacional de Madrid,9573,38,11,13,14,46,51,-5,46,LWDWW
Primera División RFEF: Group 1,15,Athletic Club II,9579,38,11,12,15,36,46,-10,45,LWDLL
Primera División RFEF: Group 1,16,CF Talavera,5253,38,11,9,18,39,54,-15,42,WLLWL
Primera División RFEF: Group 1,17,Zamora,9418,38,9,10,19,30,48,-18,37,WLWLD
Primera División RFEF: Group 1,18,Real Valladolid II,9587,38,9,9,20,42,64,-22,36,LLLWD
Primera División RFEF: Group 1,19,Tudelano,5279,38,7,7,24,33,54,-21,28,LLLWD
Primera División RFEF: Group 1,20,Extremadura,860,38,5,5,28,22,80,-58,0,LLLLL
