group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Allsvenskan,1,Malmo FF,375,30,17,8,5,58,30,28,59,DWDWW
Allsvenskan,2,AIK stockholm,377,30,18,5,7,45,25,20,59,WWWWL
Allsvenskan,3,Djurgardens IF,364,30,17,6,7,46,30,16,57,WLDWW
Allsvenskan,4,IF elfsborg,372,30,17,4,9,51,35,16,55,WLWDL
Allsvenskan,5,Hammarby FF,363,30,15,8,7,54,41,13,53,WDWWL
Allsvenskan,6,kalmar FF,374,30,13,8,9,41,39,2,47,LLWWW
Allsvenskan,7,IFK Norrkoping,378,30,13,5,12,45,41,4,44,LLDLW
Allsvenskan,8,IFK Goteborg,366,30,11,8,11,42,39,3,41,WWDLW
Allsvenskan,9,Mjallby AIF,2240,30,9,11,10,34,27,7,38,WDWLW
Allsvenskan,10,Varbergs BoIS FC,2171,30,9,10,11,35,38,-3,37,LWLDW
Allsvenskan,11,Sirius,370,30,10,7,13,39,53,-14,37,LWDWL
Allsvenskan,12,BK Hacken,367,30,9,9,12,46,46,0,36,LLDWL
Allsvenskan,13,Degerfors IF,2172,30,10,4,16,34,51,-17,34,WWLLL
Allsvenskan,14,Halmstad,766,30,6,14,10,21,26,-5,32,DDLLW
Allsvenskan,15,Orebro SK,365,30,4,6,20,23,58,-35,18,LDLLL
Allsvenskan,16,Ostersunds FK,376,30,3,5,22,24,59,-35,14,LLLLL
