group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Cup: Group 1,1,Vasteras SK FK,2241,3,2,1,0,5,1,4,7,WDW
Cup: Group 1,2,Gais,2170,3,2,0,1,3,3,0,6,LWW
Cup: Group 1,3,Malmo FF,375,3,1,0,2,5,4,1,3,WLL
Cup: Group 1,4,Halmstad,766,3,0,1,2,1,6,-5,1,LDL
Cup: Group 2,1,Degerfors IF,2172,3,3,0,0,6,1,5,9,WWW
Cup: Group 2,2,IF elfsborg,372,3,2,0,1,7,4,3,6,WWL
Cup: Group 2,3,falkenbergs FF,812,3,1,0,2,6,7,-1,3,LLW
Cup: Group 2,4,Utsikten,6706,3,0,0,3,2,9,-7,0,LLL
Cup: Group 3,1,BK Hacken,367,3,2,1,0,6,1,5,7,DWW
Cup: Group 3,2,dalkurd FF,368,3,2,0,1,7,3,4,6,WWL
Cup: Group 3,3,Helsingborg,811,3,0,2,1,3,4,-1,2,DLD
Cup: Group 3,4,Gauthiod,6667,3,0,1,2,1,9,-8,1,LLD
Cup: Group 4,1,Djurgardens IF,364,3,3,0,0,12,1,11,9,WWW
Cup: Group 4,2,IK brage,2175,3,1,0,2,1,2,-1,3,WLL
Cup: Group 4,3,kalmar FF,374,3,1,0,2,3,6,-3,3,LWL
Cup: Group 4,4,Umeå FC Akademi,12593,3,1,0,2,2,9,-7,3,LLW
Cup: Group 5,1,Ostersunds FK,376,3,2,1,0,5,1,4,7,WDW
Cup: Group 5,2,Mjallby AIF,2240,3,2,0,1,6,2,4,6,LWW
Cup: Group 5,3,Landskrona BoIS,2176,3,1,0,2,2,6,-4,3,WLL
Cup: Group 5,4,Akropolis,6655,3,0,1,2,2,6,-4,1,LDL
Cup: Group 6,1,IFK Norrkoping,378,3,2,1,0,7,2,5,7,DWW
Cup: Group 6,2,IFK Goteborg,366,3,1,2,0,6,5,1,5,DDW
Cup: Group 6,3,Sandviken,6697,3,1,0,2,7,10,-3,3,WLL
Cup: Group 6,4,GIF Sundsvall,373,3,0,1,2,3,6,-3,1,LDL
Cup: Group 7,1,trelleborgs FF,369,3,2,1,0,5,2,3,7,WDW
Cup: Group 7,2,Sirius,370,3,1,2,0,4,3,1,5,DDW
Cup: Group 7,3,Orebro SK,365,3,1,1,1,9,3,6,4,DWL
Cup: Group 7,4,Lödde,14112,3,0,0,3,1,11,-10,0,LLL
Cup: Group 8,1,Hammarby FF,363,3,3,0,0,10,3,7,9,WWW
Cup: Group 8,2,AIK stockholm,377,3,2,0,1,8,4,4,6,LWW
Cup: Group 8,3,AFC Eskilstuna,765,3,1,0,2,5,9,-4,3,WLL
Cup: Group 8,4,Oskarshamns AIK,6692,3,0,0,3,2,9,-7,0,LLL
