group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Challenge League,1,FC Thun,1012,36,21,9,6,70,39,31,72,WLDWW
Challenge League,2,FC Aarau,2177,36,16,13,7,63,45,18,61,DWLLD
Challenge League,3,Étoile Carouge,6654,36,15,9,12,58,47,11,54,LLWLL
Challenge League,4,Stade Lausanne-Ouchy,4269,36,14,11,11,54,43,11,53,WWDWL
Challenge League,5,FC WIL 1900,2179,36,14,11,11,60,55,5,53,WLWWD
Challenge League,6,FC Vaduz,660,36,13,12,11,48,49,-1,51,LWDLW
Challenge League,7,Bellinzona,6616,36,11,11,14,46,59,-13,44,WWDWD
Challenge League,8,Neuchatel Xamax FC,1015,36,12,5,19,57,65,-8,41,LWLLL
Challenge League,9,Stade Nyonnais,6646,36,10,6,20,44,69,-25,36,DLWWW
Challenge League,10,FC Schaffhausen,2182,36,7,7,22,40,69,-29,25,LLLLD
