group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
"AFC Champions League Elite , West",1,Al-Hilal Saudi FC,2932,8,7,1,0,17,6,11,22,LWDWW
"AFC Champions League Elite , West",2,Al-Ahli Jeddah,2929,8,5,2,1,21,9,12,17,WWWWW
"AFC Champions League Elite , West",3,Tractor Sazi,2737,8,5,2,1,12,4,8,17,LWLWW
"AFC Champions League Elite , West",4,Al-Ittihad FC,2938,8,5,0,3,22,9,13,15,LWWWW
"AFC Champions League Elite , West",5,Al Wahda FC,2875,8,4,2,2,11,7,4,14,LLDLW
"AFC Champions League Elite , West",6,Shabab Al Ahli Dubai,2870,8,3,2,3,14,14,0,11,LWWLD
"AFC Champions League Elite , West",7,Al-Duhail SC,2904,8,2,2,4,16,16,0,8,LLDLW
"AFC Champions League Elite , West",8,Al Sadd,2895,8,2,2,4,12,16,-4,8,LWLWW
"AFC Champions League Elite , West",9,Sharjah FC,2874,8,2,2,4,8,16,-8,8,LDLWL
"AFC Champions League Elite , West",10,Al-Gharafa,2903,8,2,0,6,7,21,-14,6,LLWLL
"AFC Champions League Elite , West",11,Al Shorta,5242,8,1,2,5,6,20,-14,5,WDLLL
"AFC Champions League Elite , West",12,Nasaf,4215,8,1,1,6,9,17,-8,4,WDLLL
"AFC Champions League Elite , East",1,Machida Zelvia,303,8,5,2,1,15,7,8,17,LWWWD
"AFC Champions League Elite , East",2,Vissel Kobe,289,8,5,1,2,14,7,7,16,LWWWL
"AFC Champions League Elite , East",3,Sanfrecce Hiroshima,282,8,4,3,1,10,6,4,15,WLDWW
"AFC Champions League Elite , East",4,Buriram United,2780,8,4,2,2,10,8,2,14,LWDWW
"AFC Champions League Elite , East",5,Melbourne City,945,8,4,2,2,9,7,2,14,LDDWD
"AFC Champions League Elite , East",6,Johor Darul Takzim FC,2523,8,3,2,3,8,7,1,11,LLWWL
"AFC Champions League Elite , East",7,FC Seoul,2766,8,2,4,2,10,9,1,10,LLDLD
"AFC Champions League Elite , East",8,Gangwon FC,2746,8,2,3,3,9,11,-2,9,LDDDD
"AFC Champions League Elite , East",9,Ulsan Hyundai FC,2767,8,2,3,3,6,8,-2,9,DLLDL
"AFC Champions League Elite , East",10,Chengdu Better City,5648,8,1,3,4,7,11,-4,6,LLDDD
"AFC Champions League Elite , East",11,Shanghai Shenhua,833,8,1,1,6,5,13,-8,4,LLLLL
"AFC Champions League Elite , East",12,SHANGHAI SIPG,836,8,0,4,4,2,11,-9,4,DDDLL
