group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Campeonato de Portugal Prio: Group C,1,1º Dezembro,4718,25,15,5,5,37,19,18,50,WWDWL
Campeonato de Portugal Prio: Group C,2,Pêro Pinheiro,4854,25,14,7,4,34,24,10,49,DWDWD
Campeonato de Portugal Prio: Group C,3,União Santarém,6369,25,13,9,3,40,14,26,48,WDWWW
Campeonato de Portugal Prio: Group C,4,Marinhense,4845,25,12,6,7,31,24,7,42,DLLWW
Campeonato de Portugal Prio: Group C,5,Benfica Castelo Branco,4731,25,10,10,5,33,27,6,40,LWLDW
Campeonato de Portugal Prio: Group C,6,Mortágua,4850,25,9,9,7,41,38,3,36,DWWLD
Campeonato de Portugal Prio: Group C,7,Sertanense,4794,25,9,9,7,30,25,5,36,LWDDW
Campeonato de Portugal Prio: Group C,8,Sintrense,4796,25,9,9,7,34,25,9,36,DLLWL
Campeonato de Portugal Prio: Group C,9,Coruchense,4833,25,7,9,9,30,28,2,30,LLLDW
Campeonato de Portugal Prio: Group C,10,UD da Serra,20042,25,9,3,13,31,40,-9,30,WLWLL
Campeonato de Portugal Prio: Group C,11,Loures,4759,25,6,7,12,26,41,-15,25,LLWWD
Campeonato de Portugal Prio: Group C,12,Arronches e Benfica,17379,25,5,4,16,15,39,-24,19,WLLLL
Campeonato de Portugal Prio: Group C,13,Alcains,4721,25,4,2,19,23,47,-24,14,WWLLL
Campeonato de Portugal Prio: Group C,14,Rio Maior SC,20354,13,1,3,9,8,22,-14,0,LDWLL
