group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Primeira Liga,1,Sporting CP,228,34,26,7,1,65,20,45,85,WLWWW
Primeira Liga,2,FC Porto,212,34,24,8,2,74,29,45,80,WWWDW
Primeira Liga,3,Benfica,211,34,23,7,4,69,27,42,76,WWWDW
Primeira Liga,4,SC Braga,217,34,19,7,8,53,33,20,64,DWDDL
Primeira Liga,5,Pacos Ferreira,234,34,15,8,11,40,41,-1,53,WLDDW
Primeira Liga,6,Santa Clara,227,34,13,7,14,44,36,8,46,WWWLD
Primeira Liga,7,Guimaraes,224,34,12,7,15,37,44,-7,43,LDLDW
Primeira Liga,8,Moreirense,215,34,10,13,11,37,43,-6,43,WLWDL
Primeira Liga,9,Famalicao,242,34,10,10,14,40,48,-8,40,LWWWL
Primeira Liga,10,Belenenses,221,34,9,13,12,25,35,-10,40,LLWWL
Primeira Liga,11,GIL Vicente,762,34,11,6,17,33,42,-9,39,LWDWD
Primeira Liga,12,Tondela,218,34,10,6,18,36,57,-21,36,LLLDL
Primeira Liga,13,Boavista,222,34,8,12,14,39,49,-10,36,WWLDD
Primeira Liga,14,Portimonense,216,34,9,8,17,34,41,-7,35,DLLLD
Primeira Liga,15,Maritimo,214,34,10,5,19,27,47,-20,35,LDDLW
Primeira Liga,16,Rio Ave,226,34,7,13,14,25,40,-15,34,WLLLD
Primeira Liga,17,Farense,231,34,7,10,17,31,48,-17,31,LWLDD
Primeira Liga,18,Nacional,225,34,6,7,21,30,59,-29,25,LLLDL
