group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Segunda Liga,1,Rio Ave,226,34,21,7,6,52,31,21,70,WWWDW
Segunda Liga,2,Casa Pia,4716,34,21,5,8,50,22,28,68,WWLWL
Segunda Liga,3,Chaves,223,34,18,10,6,54,35,19,64,LDWWW
Segunda Liga,4,Feirense,213,34,17,7,10,50,37,13,58,WWLLD
Segunda Liga,5,Benfica B,229,34,17,6,11,61,44,17,57,WLWLL
Segunda Liga,6,Nacional,225,34,14,9,11,52,44,8,51,LLWWD
Segunda Liga,7,Penafiel,235,34,14,9,11,38,38,0,51,WLWWD
Segunda Liga,8,Leixoes,244,34,13,9,12,42,40,2,48,LWLDD
Segunda Liga,9,Mafra,245,34,11,10,13,37,42,-5,43,LLWDL
Segunda Liga,10,FC Porto B,243,34,10,12,12,45,49,-4,42,LWDLD
Segunda Liga,11,Farense,231,34,10,11,13,40,42,-2,41,DLLLW
Segunda Liga,12,Vilafranquense,4717,34,10,11,13,41,47,-6,41,LLLWD
Segunda Liga,13,Trofense,4801,34,10,10,14,35,41,-6,40,WWWWL
Segunda Liga,14,Estrela,15130,34,9,10,15,42,55,-13,37,LDLLD
Segunda Liga,15,Academico Viseu,238,34,10,7,17,31,49,-18,37,LWDWW
Segunda Liga,16,SC Covilha,236,34,8,12,14,30,43,-13,36,WLWDL
Segunda Liga,17,Varzim,237,34,8,11,15,25,39,-14,35,WWLLW
Segunda Liga,18,Academica,239,34,3,8,23,35,62,-27,17,DLLLD
