group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Stars League ,1,Al Sadd,2895,22,14,3,5,56,30,26,45,WWDLL
Stars League ,2,Al Shamal,2916,22,12,4,6,39,28,11,40,LLLWL
Stars League ,3,Al-Rayyan SC,2897,22,11,5,6,46,32,14,38,WWDWL
Stars League ,4,Al-Gharafa,2903,22,11,3,8,36,36,0,36,DDLLL
Stars League ,5,Al-Duhail SC,2904,22,9,6,7,40,27,13,33,WLWWW
Stars League ,6,Qatar SC,2907,22,9,5,8,34,32,2,32,LWDLD
Stars League ,7,Al-Arabi SC,2905,22,9,5,8,37,41,-4,32,LLDWW
Stars League ,8,Al Wakrah,2900,22,7,6,9,32,36,-4,27,WDWLL
Stars League ,9,Al Ahli Doha,2896,22,8,2,12,34,43,-9,26,WWDWD
Stars League ,10,Al-Sailiya,2898,22,6,4,12,25,38,-13,22,LWLDW
Stars League ,11,Al Shahaniya,2893,22,6,3,13,22,39,-17,21,WDWLL
Stars League ,12,UMM Salal,2899,22,6,2,14,37,56,-19,20,LLLDW
