group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Prva Liga: Championship Round,1,Mladost Novi Sad,14261,37,21,9,7,48,24,24,72,LWWWW
Prva Liga: Championship Round,2,Javor,2653,37,19,12,6,57,30,27,69,WLWLW
Prva Liga: Championship Round,3,Železničar Pančevo,12360,37,20,8,9,54,36,18,68,WWWWL
Prva Liga: Championship Round,4,IMT Novi Beograd,12316,37,19,10,8,69,37,32,67,WLWWW
Prva Liga: Championship Round,5,Indjija,2631,37,19,7,11,55,38,17,64,WLLWL
Prva Liga: Championship Round,6,Zarkovo,2654,37,14,7,16,40,41,-1,49,LWLLL
Prva Liga: Championship Round,7,Radnički Sr. Mitrovica,12338,37,13,9,15,42,45,-3,48,LLLLD
Prva Liga: Championship Round,8,Loznica,12323,37,12,9,16,31,38,-7,45,LWLLD
Prva Liga: Relegation Round,1,Grafičar,4252,37,15,6,16,62,48,14,51,DWWWW
Prva Liga: Relegation Round,2,Macva,2637,37,12,12,13,33,45,-12,48,DWDDL
Prva Liga: Relegation Round,3,RAD,2660,37,13,9,15,40,41,-1,48,LWLDW
Prva Liga: Relegation Round,4,FK Zlatibor,2652,37,12,11,14,38,44,-6,47,WLWWW
Prva Liga: Relegation Round,5,Buducnost Dobanovci,2628,37,11,12,14,40,49,-9,45,WDDLW
Prva Liga: Relegation Round,6,Timok Zaječar,14250,37,11,7,19,38,44,-6,40,WLLWL
Prva Liga: Relegation Round,7,Backa,2659,37,8,15,14,30,43,-13,39,LLWLL
Prva Liga: Relegation Round,8,Kabel Novi Sad,4253,37,2,7,28,15,89,-74,13,LDLLL
Prva Liga: Regular Season,1,Indjija,2631,30,17,7,6,48,29,19,58,LWWDL
Prva Liga: Regular Season,2,Mladost Novi Sad,14261,30,16,9,5,35,17,18,57,DWLDW
Prva Liga: Regular Season,3,Javor,2653,30,15,11,4,46,22,24,56,WWWWD
Prva Liga: Regular Season,4,Železničar Pančevo,12360,30,15,7,8,42,31,11,52,WLWDW
Prva Liga: Regular Season,5,IMT Novi Beograd,12316,30,13,10,7,49,30,19,49,WWLDD
Prva Liga: Regular Season,6,Radnički Sr. Mitrovica,12338,30,13,7,10,39,29,10,46,WWDWW
Prva Liga: Regular Season,7,Zarkovo,2654,30,12,6,12,35,32,3,42,DLDDD
Prva Liga: Regular Season,8,Loznica,12323,30,11,8,11,29,26,3,41,LLWWD
Prva Liga: Regular Season,9,Macva,2637,30,10,9,11,26,37,-11,39,DLDDW
Prva Liga: Regular Season,10,Buducnost Dobanovci,2628,30,9,8,13,30,41,-11,35,DLLDW
Prva Liga: Regular Season,11,Grafičar,4252,30,10,5,15,44,43,1,35,LDLWL
Prva Liga: Regular Season,12,RAD,2660,30,9,8,13,28,34,-6,35,WWLDL
Prva Liga: Regular Season,13,FK Zlatibor,2652,30,8,10,12,28,35,-7,34,LLDLD
Prva Liga: Regular Season,14,Timok Zaječar,14250,30,9,6,15,29,35,-6,33,WWDDW
Prva Liga: Regular Season,15,Backa,2659,30,6,15,9,22,30,-8,33,LDDDL
Prva Liga: Regular Season,16,Kabel Novi Sad,4253,30,1,6,23,12,71,-59,9,LLLLL
