group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Super Liga: Championship Round,1,Slovan Bratislava,656,32,22,5,5,78,28,50,71,WWLLW
Super Liga: Championship Round,2,Dunajska Streda,2257,32,19,8,5,66,38,28,65,WDWWW
Super Liga: Championship Round,3,Spartak Trnava,1120,32,17,4,11,48,37,11,55,LDDWW
Super Liga: Championship Round,4,Žilina,3554,32,15,7,10,73,52,21,52,WDWLL
Super Liga: Championship Round,5,Zlaté Moravce,3553,32,11,7,14,42,51,-9,40,LLDLL
Super Liga: Championship Round,6,AS Trencin,655,32,8,8,16,42,61,-19,32,LDLWL
Super Liga: Relegation Round,1,Sereď,3551,32,11,8,13,37,48,-11,41,WDWLL
Super Liga: Relegation Round,2,Ružomberok,3549,32,10,9,13,41,44,-3,39,LWDLW
Super Liga: Relegation Round,3,Pohronie,4134,32,8,14,10,38,38,0,38,WDDWD
Super Liga: Relegation Round,4,Zemplín Michalovce,3552,32,8,11,13,34,53,-19,35,WDDWD
Super Liga: Relegation Round,5,Senica,3550,32,8,9,15,31,51,-20,33,LDDWD
Super Liga: Relegation Round,6,Nitra,3547,32,7,6,19,26,55,-29,27,LLLLD
Super Liga: Regular Season,1,Slovan Bratislava,656,22,17,3,2,54,12,42,54,WWWDW
Super Liga: Regular Season,2,Dunajska Streda,2257,22,13,5,4,48,28,20,44,LWDDW
Super Liga: Regular Season,3,Žilina,3554,22,11,4,7,49,33,16,37,WLDWL
Super Liga: Regular Season,4,Spartak Trnava,1120,22,11,2,9,32,29,3,35,LWWWW
Super Liga: Regular Season,5,Zlaté Moravce,3553,22,9,6,7,38,29,9,33,WWWLL
Super Liga: Regular Season,6,AS Trencin,655,22,7,7,8,30,38,-8,28,WWWDW
Super Liga: Regular Season,7,Ružomberok,3549,22,5,8,9,31,37,-6,23,LLLDL
Super Liga: Regular Season,8,Nitra,3547,22,6,4,12,21,38,-17,22,LLWLL
Super Liga: Regular Season,9,Zemplín Michalovce,3552,22,5,7,10,22,42,-20,22,WLLDW
Super Liga: Regular Season,10,Sereď,3551,22,5,7,10,22,39,-17,22,LLLWL
Super Liga: Regular Season,11,Senica,3550,22,5,6,11,23,40,-17,21,DWLLL
Super Liga: Regular Season,12,Pohronie,4134,22,3,11,8,27,32,-5,20,DLLDW
