group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
1. SNL,1,Mura,4197,36,17,12,7,50,26,24,63,WWDDW
1. SNL,2,Maribor,552,36,17,12,7,64,41,23,63,LWWDW
1. SNL,3,Olimpija Ljubljana,677,36,16,11,9,45,35,10,59,LLLDL
1. SNL,4,NK Domzale,615,36,14,13,9,52,41,11,55,DLWLW
1. SNL,5,Bravo,4359,36,10,15,11,39,39,0,45,WLDDW
1. SNL,6,Tabor Sežana,4362,36,12,8,16,40,44,-4,44,LWDLL
1. SNL,7,Aluminij,4358,36,10,13,13,31,41,-10,43,DWDWW
1. SNL,8,Celje,4360,36,12,7,17,36,41,-5,43,WWWWL
1. SNL,9,Koper,4374,36,11,9,16,41,56,-15,42,LLLLL
1. SNL,10,Gorica,4364,36,7,8,21,24,58,-34,29,WLLWL
