group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
1. SNL ,1,Celje,4360,34,23,5,6,85,32,53,74,WLLWW
1. SNL ,2,Koper,4374,34,20,7,7,71,43,28,67,WWWWW
1. SNL ,3,Bravo,4359,34,19,5,10,62,51,11,62,WWWWW
1. SNL ,4,Olimpija Ljubljana,677,34,16,7,11,50,40,10,55,LWWLL
1. SNL ,5,Maribor,552,34,15,8,11,57,43,14,53,WLLLW
1. SNL ,6,Radomlje,4378,34,13,6,15,50,63,-13,45,WLLWW
1. SNL ,7,Aluminij,4358,34,10,6,18,42,61,-19,36,LDLLL
1. SNL ,8,Mura,4197,34,8,7,19,35,55,-20,31,LWWLL
1. SNL ,9,Primorje,14007,34,6,4,24,31,74,-43,22,LDLDL
1. SNL ,10,NK Domzale,615,18,3,3,12,17,38,-21,12,LWLLD
