group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Group 1,1,Malmo FF,375,3,3,0,0,12,2,10,9,WWW
Group 1,2,IFK Varnamo,2163,3,2,0,1,3,3,0,6,LWW
Group 1,3,Gais,2170,3,1,0,2,2,6,-4,3,WLL
Group 1,4,Angelholms FF,2168,3,0,0,3,2,8,-6,0,LLL
Group 2,1,AIK stockholm,377,3,2,1,0,7,1,6,7,DWW
Group 2,2,Eskilsminne,6663,3,1,1,1,1,4,-3,4,WLD
Group 2,3,Orgryte IS,2166,3,1,0,2,3,4,-1,3,LWL
Group 2,4,Orebro SK,365,3,0,2,1,2,4,-2,2,DLD
Group 3,1,Djurgardens IF,364,3,2,1,0,5,1,4,7,DWW
Group 3,2,IF Brommapojkarna,371,3,1,1,1,3,5,-2,4,WLD
Group 3,3,IK brage,2175,3,1,0,2,2,3,-1,3,LWL
Group 3,4,Halmstad,766,3,0,2,1,2,3,-1,2,DLD
Group 4,1,IF elfsborg,372,3,3,0,0,16,4,12,9,WWW
Group 4,2,Degerfors IF,2172,3,2,0,1,11,7,4,6,LWW
Group 4,3,GIF Sundsvall,373,3,1,0,2,7,8,-1,3,WLL
Group 4,4,Skiljebo,12584,3,0,0,3,3,18,-15,0,LLL
Group 5,1,Hammarby FF,363,3,3,0,0,12,2,10,9,WWW
Group 5,2,BK Hacken,367,3,2,0,1,18,4,14,6,LWW
Group 5,3,falkenbergs FF,812,3,1,0,2,3,7,-4,3,WLL
Group 5,4,Ytterhogdal,12594,3,0,0,3,1,21,-20,0,LLL
Group 6,1,kalmar FF,374,3,3,0,0,6,1,5,9,WWW
Group 6,2,Sirius,370,3,1,1,1,5,4,1,4,LDW
Group 6,3,trelleborgs FF,369,3,0,2,1,3,4,-1,2,DDL
Group 6,4,Sylvia,11661,3,0,1,2,0,5,-5,1,DLL
Group 7,1,IFK Norrkoping,378,3,2,1,0,7,2,5,7,WWD
Group 7,2,Varbergs BoIS FC,2171,3,2,0,1,3,2,1,6,LWW
Group 7,3,Osters IF,2174,3,0,2,1,2,3,-1,2,DLD
Group 7,4,Sollentuna,6699,3,0,1,2,1,6,-5,1,DLL
Group 8,1,IFK Goteborg,366,3,1,2,0,5,3,2,5,DDW
Group 8,2,Norrby IF,2173,3,1,2,0,4,2,2,5,WDD
Group 8,3,Mjallby AIF,2240,3,0,3,0,3,3,0,3,DDD
Group 8,4,Landskrona BoIS,2176,3,0,1,2,2,6,-4,1,LDL
Group 8,5,Akropolis,6655,0,0,0,0,0,0,0,0,
