group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Challenge League: Regular season,1,FC Vaduz,660,36,25,6,5,75,41,34,81,WLWDW
Challenge League: Regular season,2,FC Aarau,2177,36,25,5,6,77,47,30,80,DWWWD
Challenge League: Regular season,3,Yverdon Sport,6653,36,20,7,9,75,48,27,67,DWWLW
Challenge League: Regular season,4,Stade Lausanne-Ouchy,4269,36,14,8,14,59,51,8,50,WWWDL
Challenge League: Regular season,5,Neuchatel Xamax FC,1015,36,14,7,15,55,56,-1,49,LWWLW
Challenge League: Regular season,6,Rapperswil,2185,36,14,2,20,52,62,-10,44,WLLWW
Challenge League: Regular season,7,Étoile Carouge,6654,36,10,10,16,46,54,-8,40,DLLWL
Challenge League: Regular season,8,FC WIL 1900,2179,36,10,10,16,39,55,-16,40,LWLWD
Challenge League: Regular season,9,Stade Nyonnais,6646,36,5,13,18,33,60,-27,28,LLLLL
Challenge League: Regular season,10,Bellinzona,6616,36,5,8,23,40,77,-37,23,DLLLL
