group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Ligue 1,1,ES Tunis,980,30,19,9,2,57,22,35,66,DWWWW
Ligue 1,2,US Monastirienne,992,30,17,11,2,42,11,31,62,DDDWW
Ligue 1,3,ES Sahel,990,30,19,4,7,45,24,21,61,LWDWW
Ligue 1,4,Club Africain,988,30,16,8,6,36,19,17,56,DLLLW
Ligue 1,5,ES Zarzis,989,30,16,6,8,38,29,9,54,WDLWL
Ligue 1,6,Stade Tunisien,991,30,13,10,7,29,21,8,49,LWDDD
Ligue 1,7,CS Sfaxien,983,30,11,11,8,31,19,12,44,WWLDD
Ligue 1,8,ES Metlaoui,984,30,11,10,9,32,27,5,43,WDWDL
Ligue 1,9,CA Bizertin,981,30,9,8,13,29,28,1,35,WLWLW
Ligue 1,10,US Ben Guerdane,986,30,7,11,12,30,34,-4,32,WLWWL
Ligue 1,11,Olympique Béja,10625,30,7,8,15,19,37,-18,29,LLLDL
Ligue 1,12,AS Gabes,987,30,7,7,16,20,38,-18,28,DWDLW
Ligue 1,13,AS Soliman,6253,30,6,9,15,17,42,-25,27,WDDLW
Ligue 1,14,Jeunesse Sportive Omrane,18284,30,4,14,12,25,46,-21,26,LWDLL
Ligue 1,15,EGS Gafsa,10604,30,6,4,20,24,43,-19,22,LLDLW
Ligue 1,16,US Tataouine,1190,30,5,4,21,19,53,-34,19,LLDLL
