group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Persha Liga: Championship Round,1,Inhulets,3625,28,21,4,3,60,17,43,67,WWWWW
Persha Liga: Championship Round,2,Karpaty,3617,28,20,5,3,49,20,29,65,LDWDW
Persha Liga: Championship Round,3,Livyi Bereh,17162,28,16,6,6,59,21,38,54,WDDWL
Persha Liga: Championship Round,4,Epitsentr Dunayivtsi,14434,28,11,11,6,39,33,6,44,LLDWW
Persha Liga: Championship Round,5,Prykarpattia,3631,28,10,10,8,35,30,5,40,LWDWL
Persha Liga: Championship Round,6,Nyva Buzova,21319,28,10,10,8,32,34,-2,40,LDWLW
Persha Liga: Championship Round,7,Viktoriya Mykolaivka,13223,28,10,9,9,23,27,-4,39,WLDDW
Persha Liga: Championship Round,8,Ahrobiznes Volochysk,3620,28,10,8,10,27,29,-2,38,DWLLL
Persha Liga: Championship Round,9,Yarud Mariupol',14441,28,8,13,7,29,26,3,37,DDLLL
Persha Liga: Championship Round,10,SK Poltava,17165,28,10,7,11,49,45,4,37,WLLLL
Persha Liga: Relegation Round,1,Bukovyna,6486,28,12,5,11,38,29,9,41,WWLWL
Persha Liga: Relegation Round,2,Podillya Khmelnytskyi,6495,28,9,12,7,36,26,10,39,WLWDW
Persha Liga: Relegation Round,3,Nyva Ternopil,6493,28,9,9,10,29,29,0,36,DDWLW
Persha Liga: Relegation Round,4,Metal Kharkiv,14437,28,7,9,12,27,34,-7,30,DDLWW
Persha Liga: Relegation Round,5,Dinaz Vyshhorod,6487,28,8,6,14,31,38,-7,30,WDLWW
Persha Liga: Relegation Round,6,Khust City,21203,28,9,2,17,34,53,-19,29,LLLWW
Persha Liga: Relegation Round,7,Metalurh Zaporizhya,5627,28,7,7,14,27,48,-21,28,LWLLL
Persha Liga: Relegation Round,8,Kremin',4657,28,6,7,15,20,48,-28,25,DWWDL
Persha Liga: Relegation Round,9,Chernihiv,14433,28,6,5,17,34,66,-32,23,DDWLL
Persha Liga: Relegation Round,10,Hirnyk-Sport,3624,28,6,5,17,24,49,-25,23,LLWLL
Group A,1,Karpaty,3617,18,14,3,1,34,10,24,45,WWWLW
Group A,2,Epitsentr Dunayivtsi,14434,18,8,7,3,27,21,6,31,WDWWW
Group A,3,Ahrobiznes Volochysk,3620,18,8,5,5,20,15,5,29,LWLWW
Group A,4,Nyva Buzova,21319,18,7,6,5,21,19,2,27,LDWLD
Group A,5,Prykarpattia,3631,18,6,8,4,27,18,9,26,WDLWW
Group A,6,Bukovyna,6486,18,6,3,9,16,23,-7,21,LLLWD
Group A,7,Podillya Khmelnytskyi,6495,18,4,8,6,18,17,1,20,WLDWL
Group A,8,Nyva Ternopil,6493,18,5,5,8,15,19,-4,20,LWDLL
Group A,9,Metal Kharkiv,14437,18,3,5,10,13,27,-14,14,WDWLL
Group A,10,Khust City,21203,18,3,2,13,15,37,-22,11,LLLLL
Group B,1,Inhulets,3625,18,13,3,2,41,13,28,42,DWWDL
Group B,2,Livyi Bereh,17162,18,11,3,4,40,11,29,36,WWWWD
Group B,3,Yarud Mariupol',14441,18,8,7,3,22,14,8,31,WDWLW
Group B,4,Viktoriya Mykolaivka,13223,18,8,6,4,19,18,1,30,LLWDD
Group B,5,SK Poltava,17165,18,8,5,5,35,27,8,29,DWWDW
Group B,6,Metalurh Zaporizhya,5627,18,6,7,5,23,18,5,25,LDLDW
Group B,7,Hirnyk-Sport,3624,18,5,2,11,16,32,-16,17,DLLWD
Group B,8,Kremin',4657,18,4,2,12,14,40,-26,14,LLLWL
Group B,9,Chernihiv,14433,18,4,1,13,20,44,-24,13,DWLLL
Group B,10,Dinaz Vyshhorod,6487,18,3,4,11,15,28,-13,13,WLLLD
