group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Premier League,1,Shakhtar Donetsk,550,18,15,2,1,49,10,39,47,WWWWW
Premier League,2,Dynamo Kyiv,572,18,14,3,1,47,9,38,45,DWWWL
Premier League,3,Dnipro-1,3623,18,13,1,4,35,17,18,40,WWWWW
Premier League,4,Zorya Luhansk,599,18,11,3,4,37,19,18,36,DWWLW
Premier League,5,Vorskla Poltava,1121,18,9,6,3,30,18,12,33,DDLWW
Premier League,6,Oleksandria,3619,18,7,5,6,19,16,3,26,LWLLW
Premier League,7,Desna,3616,18,7,4,7,22,27,-5,25,LDWLW
Premier League,8,Kolos Kovalivka,3627,18,7,3,8,14,23,-9,24,WWWDW
Premier League,9,Veres Rivne,6501,18,6,5,7,15,20,-5,23,DLLWL
Premier League,10,Metalist 1925 Kharkiv,3628,18,6,1,11,17,29,-12,19,LLLLL
Premier League,11,Rukh Vynnyky,3632,17,4,6,7,16,21,-5,18,DDWLL
Premier League,12,Lviv,3618,18,4,5,9,14,30,-16,17,DLWWL
Premier League,13,Chornomorets,3615,18,3,5,10,20,40,-20,14,WLLLW
Premier League,14,Inhulets,3625,17,3,4,10,13,28,-15,13,WLLDL
Premier League,15,Minai,4658,18,1,7,10,12,30,-18,10,LLLDD
Premier League,16,FC Mariupol,2252,18,2,2,14,21,44,-23,8,LDLLW
