group,rank,team,team_id,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,form
Pro League ,1,Al Ain,2865,26,21,5,0,62,18,44,68,WWWWW
Pro League ,2,Shabab Al Ahli Dubai,2870,26,17,7,2,60,18,42,58,DDWDL
Pro League ,3,Al-Wasl FC,2872,26,14,6,6,39,29,10,48,WWWWW
Pro League ,4,Al-Jazira,2871,26,13,5,8,46,30,16,44,WLDLW
Pro League ,5,Al Wahda FC,2875,26,10,10,6,38,26,12,40,LDLWD
Pro League ,6,Al Nasr,10155,26,9,11,6,36,34,2,38,DWLWW
Pro League ,7,Ajman,2879,26,9,5,12,27,34,-7,32,DWDWL
Pro League ,8,Sharjah FC,2874,26,8,5,13,35,47,-12,29,WDLLD
Pro League ,9,Khorfakkan,4912,26,6,9,11,35,45,-10,27,LDDDD
Pro League ,10,Baniyas SC,2877,26,7,6,13,29,43,-14,27,LDDWD
Pro League ,11,Al-Ittihad Kalba,2876,26,5,9,12,29,45,-16,24,LLDLD
Pro League ,12,Al-Dhafra,2873,26,6,4,16,28,52,-24,22,WLDLL
Pro League ,13,Al Bataeh,9136,26,4,9,13,24,37,-13,21,DDLLD
Pro League ,14,Dibba Al-Fujairah,2867,26,5,5,16,25,55,-30,20,LLWLL
